,video_Id,comments
0,wYDh5d9pfu8,"['Get 60% off your first box from MEL Science at https://melscience.com/sBEz/ and use code NUMBERPHILE60 (episode sponsor)\nMore videos with Tadashi: http://bit.ly/tadashi_vids', 'X^2=-1 equation\n so ,X=√-1\nBut square of both side of equation\n(X^2)^2=(-1)^2\nX^4= 1\nX=1 ????????how sir', 'Interesting Mercedes in F1 are suffering from porpoising problem right now 🤣🤣', 'a pulley and string would have been perfect, rubber band around the ball too', 'The sable lizard laparoscopically behave because hawk philly hook amongst a  flagrant mom. ready, discreet dew', 'Numbers blow my mind.', 'Does fishes and dolphinos feelz the Vortexes rolling on their bodies so them make right movement at rite times to switch vortexes? Pleez anser!', 'Revelation!!  Thank you.  Wonderful.', 'This was amazing.  I love how this professor can explain things so well.', 'I tried this with a ball in the kids swimming pool when I was there with my granddaughter a few days ago. The pool was about 1m deep and the ball about 15cm deep. From being held just under the surface the ball popped up perhaps 2-3 diameters above the surface. But when held between my feet on the bottom and then released it shot up about 2m above the surface.']"
1,n4gmYjyI3vo,"[""This was very inspiring. I'm a teacher as well, and especially version one of the proof is accessible for students who don't know a lot of algebra yet. I like it a lot."", 'Excellent video.', 'Ok. Question. We all know Euklid. There are infinte primnumbers. And here is the the question:  Are there infinite prim twins, too? Is this the question? Ps.: Sounds hopeless like 3n+1 conjuncture and even more like prims already do. Pss.: My mind is melting.', 'Nice proof that all twin prime pairs besides 3 and 5 sandwich a multiple of 6. Ah, the specialness of 2 and 3 strike again.', 'The therapeutic octagon rationally stay because journey holoprosencephaly wonder modulo a devilish trouble. awesome, legal fiction', 'Try 12n+-7', ""I  chose 3 and 5... i didn't get 8..."", 'This proof works for any numbers (not necessarily prime ) which differ by 2 and the number between them is a multiple of 3. This fact is a bit disappointing to me.', 'I like the algebraic one much much better!', 'Wonderful!']"
2,6ofIBoWGc7k,"['As a radius supremacist, seeing 2π used in the Stirling formula is delicious vindication. Tau all the way. τ', 'How did someone ever figure out this crazy cool formula?', 'So, the bigger the factorial, the closer the approximation approximates the actual factorial (lol).', 'Great teacher, therefor great professor. More videos with Ken McLaughlin please. Thanks!', 'If the limit is 1, then the numerator and denominator must be the same. \nSo ""infinity limit""=1 means we travel to the place where the numbers ""are"" the same. \nSo the denominator converges to the actual value of n!. So the numbers do not diverge from each other as n goes to infinity.', 'if you say numbers louder, they get bigger', ""_“[•••] You don't get it exactly right — that's exactly right”_ loved it"", 'Pi is such a trip', '""You won\'t get it exactly right""\n""That\'s exactly right""', 'so, the difference between the factorial and the approximation just keeps growing, but the value of the factorial grows at an even bigger rate?']"
3,DmfxIhmGPP4,"['The whole mosquito sporadically encourage because dream extremely compete via a dazzling faucet. superficial, cheap sentence', 'If he had a technique why not publish the technique on one page instead of a book.', 'Hey Matt, just one thing. At 8:55 you should have taken the remainder to be 20 and then putting a 0 beneath it. By going to 200 directly you skipped a 0. 1/23 is …608 not …68 which is what you wrote.', 'That´s the most complicated manual method of decimal division I´ve ever seen. I´ll keep the elementary school method.', 'So how did the HM calculate this then?', 'nice ;)', ""I wonder what was the cause of William Shanks' death? And what his wife's alibi was?"", '82608, not 8268.', ""I'm no mathematician. I have a question, though. aren't prime numbers just an artefact of using a base-9 counting system? I'm genuinely curious and unable to work it out myself lol"", ""I'm a kid and this is the first video I've watched from numberphile and I already love it""]"
4,q8Umr0BLMiU,"['Coke Bottle is unveiled about 6:44', 'Find a person who loves you as much as this man loves Klein Bottles.', 'This video answered a lot of questions I’ve had about Klein bottles for a very long time', 'klein straws :)', 'He was just saying that a photograph is an immersion of a 3d object, and that you lose the information that\'s on the back. That makes me curious! We can take a picture of the back of our heads, and lose the front.\n\nIf his klein bottles are a ""3d immersion of a 4d object"" then what would they look like if we took a 3d immersion of the ""back"" of these bottles in 4d space? In other words, if his current klein bottles are the ""front"" then what would the ""back"" look like?', 'The man is back!', ""You 100% have to be the guy that the cartoon 'double slit experiment' guy is modelled on."", 'I have no idea what is going on in this vid or why this matters at all. Still watched it tho haha', ""He actually made the neck of the bottle at the bottom if I see right. That's a really nice detail."", 'You’re the only reason I don’t give up on math.']"
5,-IjGexS1T8U,"[""Hey, I don't have a way to run any code atm, but anyone know what would result from a bunch of those with three-tetrahedra-segments (7:03) and some two-tetrahedra-segments would lead to in a procedural generator? I have a funny reason for thinking it might be intriguing to do it but can't and figure i will probably forget before I get the time to do it, but maybe someone will see this and give it a shot..."", 'Is the answer of five faces proven mathematically, or just apparent? I would like to see the math that proves the two faces are indeed exactly coplanar, without any fractional degree angle between them.\n\nIt is also interesting to consider what adding another tetrahedron to the opposite side of the pyramid would look like. There would have to be two edges of the opposite tetrahedra forming a straight line with the midpoint at the tip of the pyramid, and either flanking side comprising three equilateral triangles in a common plane. Quite unexpected. And if three equilateral triangles share edges in a plane in such a way, you would have half a hexagon. You could unfold the entire construction along the common edge and have a full hexagon.', ""It's a boaty"", 'The axiom shape at 4:36 is one I got to discover myself as a teenager - I find it a really fascinating shape and really appreciate how Shawcross has created art with it.', 'WAIT THE PYRAMID + TERTAHEDRON SHAPE TILES 3D SPACE', 'Tetraboat!', 'Call it a ""tetrahedral base"" because it is the base structure that you can use to make things out of tetrahedrons. I guess you could just call it a boat though, that would be fine.', 'u obv call the boat a truncated pseudo octahedron', ""I answered 5 faces and I don't think I counted them the way he did 😅😅"", 'Dubious way of describing something tbh (you dont explain something by using the word you\'re explaining, for example to describe a tetrahedron you unequivocally do not say its a tetrahedron) hence why your desroption is dubious and in any case the question was if it had a name you you said its ""some type of basically some other sshape"" bro its a few equalatiral triangles....5']"
6,DK3njNP-Qz0,"['Some of these Zombies on some merch: https://numberphile.creator-spring.com/listing/zombie-equation-numberphile', 'Zombies only random walk if no non-zombies are present though....', 'Nice Akira reference @1:02', ""If there's a zombie apocalypse, I want Mr. Woolley  on my team."", 'Is this math or physics?', 'So this is how a mathematician becomes a psychopath.', ""The number under the root cannot be negative! Except if we went into i territory. Now I'm just imaging an imaginary universe the number under the root is negative and if that's true then that means we are the zombies to the zombies! Mind blown!!"", ""Some Random Person Doing Math's When Zombie Apocalypse Occurs"", 'Your animator likes Akira. I approve!', 'Rule #1\nCardio']"
7,tkC1HHuuk7c,"['Check out a little bit of ""Mona Merch"" from this video: https://numberphile.creator-spring.com/listing/36-degree-mona-numberphile', '7:42. This actually looks pretty cool', 'As a dnd DM I really want to make a campaigns setting based on a map drawn by either pi, e or the golden ratio... they looked an awful lot like maps to me lol.', 'I cant believe you didnt draw the digits of pi using base pi...', 'How many circles exist in one sphere ? then t.s.a. of sphere is 4pi r square , then pi equal to circumference by diameter then in formula four pi then exist four circumference and one diameter in sphere . Its four circles is exist in spere or not .  Please give early reply', ""I don't understand why mathematicians worry about finding a simple and elegant way of proving to aliens we know basic math when whatever message we might send requires a whole lot of complex engineering in the first place"", 'Awesome. - So cool. Thanks.', ""How can the island have the most boats and coves with adequate bridges?  Adequate so there was some reasonable  quandary other than a swamp marsh where help was unreasonable without a helicopter.  Perhaps there was a best fitting of such island types so it wasn't entirely a burden to send sewage to a chlorine factory, as the coves neatly kept  the pipes safe since jet ski's and cliff divers don't pose such a threat as steam ships.  It could have fancy stuff I guess."", 'i love visualizing math', ""What's cool is as he increased the number of digits of pi, to me the diagrams looked kinda like the globe.""]"
8,kMBj2fp52tA,"['Part 2 (featuring Pi) is here: https://youtu.be/tkC1HHuuk7c', 'How come the even numbered iterations have the arrowhead curve pointing down, but the odd numbered ones have it pointing up?', ""I don't remember much of logo but you multiply your degree by t, otherwise you get an elipse."", 'Hear me out, ROBO TATTOOING', '9:41 but how do you code that in python?', 'is there a python equivalent for ""SubstitutionSystem ?""  thank you', 'To me, this is pure art and I really mean that, especially what he shows in part 2', 'The spirals of higher order were a surprise! Though not too strange in retrospect.', '""[…] from so simple a beginning endless forms most beautiful and most wonderful have been, and are being, evolved.""', 'It inspired me in many ways. Thank you very much for sharing this video.']"
9,kwrDX5qkwvA,"['What if they build a small canal round the mountain to establish  that both entrances were level.', 'If a person went up the mountain to see both point 1 and point 2 they could each get the direction of the person on the mountain lining up the two points, and have an angle. also dig a smaller diameter tunnel first  then when you  fill it out the expanded walls will likely correct a slight miscalculation. this also doesnt count for elevation either, or the slope of the tunnel. All from building tunnels in a snowbank...lol', 'Polycrates or his slaves did this?', 'How did they breath in a 500 m unventilated tunnel?', 'To find a East-West line in Egypt they put a stick in the ground and marked where the shadow ended.  They then waited a few hours and again marked the end of the shadow.  By connecting these two points you get an exact East-West line, which they bisected to get the North=South line.', 'GPS involves triangles.', 'Math mommy.', 'Alternative theory: Just dig from one side and go straight wtf', ""If it's on an island, you can use sea level.\nIf the entrance is not high, You could use a water leveled telescope."", 'why would they not use the same triangles to determine decent, thus equalizing level.']"
10,i9CdGc3e7-g,"[""What's that machine called?"", ""Matt Parker's never going to live it down, is he?"", 'Cool', 'i named one of my dnd characters after matt parker and i’m waiting to see if anyone in the campaign will ever catch on', 'oh i remember this', 'great vid but ?', 'Besides Matt, who else has a tattoo of the Parker Square?', 'I remember the first time I heard the words, ""Parker Solar Probe"" and I instantly thought, ""Oh no, did it crash?"" XDDD', 'Where can I get one of those flip boards?', ""Everyone: [Talking about the Parker Square] \nMe: Yes, those _are_ three words I've used before.""]"
11,NHZt8eBKcRA,"['Numberphile podcast featuring Asaf - https://youtu.be/b6GLCTh5ARI', ""It's when your function doesn't output NaN"", ""I've read so many of Asaf's enlightening answers and thoughtful questions on MSE and MO for years. What a treat to see him on numberphile!"", ""Sets, sets, sets. That's all this guy thinks about😀"", 'Rather than asking ""what is a number"" I\'d rather ask ""what is 7?"" That\'s easy. It\'s the thing between 6 and 8. Done. Nothing else is needed. We have this set of things that we put in a certain order. We can call them anything we want, use any symbols we want. The only definition we have or need for any one of them is that it\'s the thing between what comes just before it and what comes right after it.\n\n""What about operations on these things?"" you ask. Just make a table. (For an n-dimensional operation make an n-dimensional table.) Put anything you want in the table. It doesn\'t have to be sensible or even complete. Many tables are possible. None is any more necessary than any other. All possible tables are equally valid. The significant question about these possible tables, or at least the question I find most interesting, is which tables lead to the most interesting and far reaching conclusions (aka theorems). What we consider ""regular"" mathematics leads to all sorts of interesting things, so I\'ll stick with it, but I wouldn\'t deny the possibility of others.', ""Wow! Didn't know RHCP guitarist was also a mathematician."", 'That is crazy....', 'So basically numbers have a much deeper purpose than what I use them for... My peasant way of using numbers is like using excel for making a shopping list. Society just borrow an advanced system to manage simple tasks.', ""What is a number?\n\nWell, to fully understand that, you need to recognise how human recognition and understanding itself now inherently exists within the context of language, which academia then involves and studies, including mathematics, and then further recognise how that informs us of how, why and what they themselves exist as.  Without this context, nothing else matters:  identity itself, in general, cannot exist.  Unfortunately, this context, right now, has problems that are not fully recognised and understood - and I'm really annoyed because no-one in academia seems interested in even finding out what I've recognised through my own 20 years of study - (I've talked to a couple of experts over the years, but they have all since retired).  (I started with recognising problems with understanding a type of computer game as a matter of linguistics, only to realise that the problem that was causing all of this, and far more, ran as deep as it gets.)\n\nAs with everything involving language, there will always be a feedback-loop at the root of everything, but sets and numbers are not really it, for either/both.  Above the most basic loop, however, the real semantic context that matters for numbers, and indeed everything else in relation to things, are properties they have.  The key to understanding identities of properties vs the individual identities of things themselves, is that properties only exist in RELATION, and are therefore a matter of comparison.  Numbers inherently exist within this context, and is where we must begin.\n\nThere's obviously a whole lot more I could go into here, but, again, without the current foundation being what it needs to be, we'll run into problems eventually.  (The currently used foundation of human recognition and understanding does not truly allow for any of it to exist at all.)"", ""Not a lot of people mentioning it, but I liked the bit at the end that I could understand XD. It's interesting to think of the mammoths as sets, not just numbers. Cuz he's right, even before we consider numbers and quantities, we are pattern recognition machines. \n\nWe had to be able to classify that as a friend and that as a relevant mammoth (one that isn't too far or abnormally strong or whatever) and that thing over there as neither one.\n\nThat said, apparently, the philosophy of how to code those patterns is way beyond me haha""]"
12,m4Uth-EaTZ8,"['Indeed at 5:25 the graphic should show the 15 and 16 stones one square higher - Neil\'s ""real life"" board is, of course, correct.', 'I love the visuals on this one. I was thinking showing the white numbered tiles as slightly higher on the graph based on relative size would much better help illuminate the concept visually. Well done.', 'What is the optimal configuration for three?', 'What happened in 3 dimensions?', 'For the lower bound: Assuming you place the first stone at (0,0), and the second at (2,2), by placing the 3rd at (3,-1) you could wrap around to the 1st stone again , using just 4 of the spaces around stone 3, and 4 of the unused spaces around stone 1 to get to 14. Continuing out as in the video would increase the lower bound to 5n-1 for n>2. I think...', 'OH MAN THIS IS Q THEORY AND I NEVER REALIZED IT. THIS PATTERN MUST BE LINEAR BECAUSE THE SPACETIME IT IS A SLICE OF IS GEOMETRIC', 'There clearly is an option for a 17. Or am I missing something?', ""I got really triggered by him refering to Mt Everest's height in feet"", 'This man has a super villain voice, I love it', ""Got online to watch last night's NBA highlights. The math is too irresistable.""]"
13,m0LVEvtjK4M,"['Merry Christmas!', 'I had a practical application for what I learned here!  I was filtering wine using a filter-funnel.  The conical funnel had the same cross-section as the carboy and blocked air from escaping, backing up the funnel.  I recalled from this that an oblique section of a cone was an ellipse!  I tilted the funnel a bit and it opened an air path on the sides.', 'Serious question.... what shape is an angled slice through a cylinder? I’ve started making bagpipe reeds... trying to work out the curve on the reed head as it sanded down..... is it a caternary???', 'Teacher: ""Today we\'re going to study conic sections. Also, no eating in class!""\n\nThe kids in the back:', 'That bread looks delicious.', '""Hey Brain, what you wanna do tonight?"", ""Stop this distraction, Pinky. I am enjoying a hyberbolic jam sandwich.""', ""How lovely this man is\n\nBurning knowledge within something you always (Or most of the times) are interacting with, like food. .. That's an incredible teaching skill to have"", 'I was very surprised this man was an astronomer, a hacker, a writer and a mathematician', 'Bread Kline bottle coming soon!', 'Cliff Still is the best.']"
14,mZBwsm6B280,"['Extra footage from this interview: https://youtu.be/pJyKM-7IgAU\n3blue1brown video on the shadow a cube: https://youtu.be/ltLUadnCyi0', ""If we're in an infinite universe with invinifite variations where we can know nothing to 100%........doesn't this sort of show that we know nothing?"", 'My issue with all three solutions is how each solution selects chords. It\'s obvious in the generated second solution example that part of realm possibility was under represented. Each of the solutions were skewed by the decision of how to generate the chord. Instead of selecting a random chord, the solution did so by generating random degree then a random distance less than the radius, ignoring that the area of smaller radius circles within larger circles is not a linear ratio.\r\n\r\nTo be fair I feel this non-""paradox"" is more of a cautionary tale about how you frame your point of view to which you pursue solutions if you need to find a solution within the scope of infinity.', ""I'm no mathematician, but in the second case, surely the ratio is ¼ to ¾, or ⅓?"", 'I intuitively would go with 1/2 probability.', 'Statistics. People think they understand it better than they do.', ""If you slide uniformly along a radius to choose the cord, the average cord length is 4 / pi for radius = 1 (I think). And it looks as though sliding uniformly along the circumference will give a smaller average cord length than sliding along the radius, but I haven't managed to calculate that yet."", 'pushforward density is not uniform for the volume measure for the first two methods. the last method is the only one with scale, rotational AND translation invariance. for any subset area/volume chosen inside the circle, the distribution of chords is uniform with method 3. that is what is meant by uniform: density function with full symmetry. this concept, though is simple and goes without saying for ""points"" in a space, is not as clear for a more complicated geometric objects such as chords at first sight. That is where the ""paradox"" seemingly is coming from and different methods are proposed. It is not really a paradox and the problem posed does not require further specification. It requires a clearer understanding of what is meant by uniform. (EDIT: Ok, looks like the extra video does mention symmetry.)', '""Just a simple question"", I\'m just sitting here eating popcorn and trying to figure out the name of the shapes at the paper..', 'The answer in the third method is incorrect. For this method, the probability is less than one half. For all the Cords drawn to the right of the centre. There is always a matching line to the left. However there is one line where this is not true. The zero point line in the centre does not have a matching pair. There will always be only one maximum length cord. Therefore, if you take into account the entire circle, no matter how many sample you take across the diameter there will always be one less cord passing through the inside of the inner circle than not passing inside the inner circle.']"
15,1kYGbMK1oA4,"['Is there a Smallest Large hexagon?', 'Really great that Numberphile interviewed Ron Graham before he passed away. He would be remembered for generations to come.', 'This guy is on meth?', 'But does it tile?', 'I don’t understand the point in calling these shapes “small” surely you can always define the largest diagonal of any shape to be 1 unit and thus all shapes would be considered small.', 'Largest small square is 0.7 × 0.7', ""Brady's been inducted into Grey's cult! What do we do?"", 'If my figuring out is correct, the largest small hexagon is also the smallest large hexagon. No joke, think about it.', 'What about odd number? Did we manage to find a universal solution?', 'ohh now i know what is the largest small kiliagon']"
16,vKlVNFOHJ9I,"['Visit https://gift.climeworks.com/numberphile and us se code NUMBERPHILE10 for 10% off your purchase (sponsor)\nMore videos with Neil: http://bit.ly/Sloane_Numberphile\nPrime Playlist: https://bit.ly/PrimePlaylist', 'I’m a simple man. I see a Neil Sloane video and I click play', '""You can do the math.""  Well I\'m sure someone can.', 'Well, I just created a python script to search for the missing prime up to 10,000,000 -- will let you know if I find it! :)', 'Your enthusiasm is SO contagious. 😁', ""The sponsor is a real piece of work. Why inhibit plants' ability to get their food?"", 'To speed things up you can assume the number Must not be Even Or end in 5, It must also not end in any N=3(x) as (N-2)+(N-1)+N Where N is a Multiple of 3 Is Also A Multiple of 3 (as 3n-3 is a multiple of 3 For all whole solutions). This Eliminates quite a lot of numbers', 'Obviously any number ending in an even number is non-prime. So why not try just the odd numbers, i.e., 1, 13, 135, 1357, 13579….n?', 'and if we find it here it shall be the Brady Prime', 'Dr. Sloan, is your stripoed wall a placement for Whataburger?  If not, it should be.  :-D']"
17,JXtfKMH6X44,"['Objectivity video about The Almagest: https://youtu.be/QW29uaD78OU', 'Omicron has a value of 70, and anyone notice how the media had emphasized the 70% of Omicron cases in the US? \n\nCoronavirus = 6+3+9+3+4+8+5+9+9+6+8 = 70 (Reverse Pythagorean)', ""Typing it out in LaTeX however you'd write \\mathcal{O}, i.e. calligraphic big O, and not \\Omikron"", 'I thought it was the covid variant', 'this is giving me early Numberphile vibes nice', ""If they're gonna skip Greek letters, then they had better skip pi or math is RUINED"", 'This is not an omicron, this is derived from german Ordnung', ""I love the Greek alphabet. It's so simple yet complex at the same time"", 'Look at his kitchen if in fact if this his his house well for someone so smart he sure lacks in creativity for decor \n\nMaybe smart people are that way', 'i really surprised by comments about not knowing all three parts of omicron omega theta notation.\ni learned existing of it in schools (it was it-focused school btw).']"
18,JbfhzlMk2eY,"['Ayliean has kindly hand-drawn a selection of stitch patterns as prizes of Patrons - find out how to win one here: https://www.patreon.com/posts/59579953', ""It would be fun to compare the pattern created by reversing the rules of where a line is or isn't drawn."", 'looks like a map to the backrooms', 'This might be my favorite numberphile video yet!', 'In Denmark Y is always a vowel. I was really thrown by it when I lived in England 😂', ""I'm not sure how to ask or what the question exactly to ask is, but I am curious about this technique or maybe ones like it helping us to crack problems like for example Pi.  Can I draw out everything from 3.14 to 3.15 and put a different sort of handle on Pi and can I use that in novel ways?  I know that cleverer folks use other tools to help reduce some of the mystique that surrounds something like Pi and to put it to practical uses, and I know we use Pi in non-base-10 and it looks more mundane.  I really liked the video and I thought you might have wanted to expand on a topic like that, thanks."", 'I wonder what this would look like using tiled hexagons as the basis', 'The ""Y"" in ""May"" is a vowel.  But we might forgive mathematicians for not understanding letters.', 'Your theories, they are random!', 'Thank you for this, I love patterns and embroidery, it is so nice to see these two brought together, and I love that I can use them as a physical representation of words. Going to have a play with this 🥰']"
19,_MscGSN5J6o,"['""2, forget about 3, 13, 23, and the team captain; 1,662,803.""\nThat had me dying because I was not expecting the last number to be so f*cking large.', 'Interestingly: all liars of 91 to the third power equal 1 or -1\n10³ = 1000 == -1 (mod91)', '31 and 73 really the Boondocks Saints', '""The numbers don\'t lie."" - ""Well actually they do!""', 'I feel honoured that the badass 1,662,803 was discovered in the year of my birth', 'Trillion, not quadrillion.', 'The least reliable prime witness obviously is 1, because it lies every time for all composite integers', 'I saw 91 and something in my brain immediately said “it’s 70 plus 21 so 7 times 13”', 'Great host loved him', 'Is it possible (not known, but possible) that any number will NEVER lie, no matter how large the tested prime is?']"
20,NFLb1IPlY_k,"[""Hannah's latest book (with Adam Rutherford) is the Complete Guide to Absolutely Everything (Abridged): https://amzn.to/30Mr6UE\nMore Hannah on Numberphile: http://bit.ly/hannah_vids"", 'I can confirm ""Ohlala"" is the 2nd train stop from Paris to Rouen.', 'The math teacher I need', 'I love your accent so much :)', 'Smart and so lovely!', 'Also don’t forget the acceleration of trains and loads and things. There’s just so much calculus that goes into railroads it’s amazing', 'I’m learning to “train graph” at the moment and this is hilariously accurate', 'You know you should be part of Robinson family, right? :)', 'It takes forever to get from Baguette to Zidane some days.', 'My Grandfather did this in Adelaide as the head station-master.\nHis surname was Hudson, by coincidence!']"
